Date,Portfolio_Value,Benchmark_Value
2020-10-20,162695.19918446415,135918.69821701324
2020-10-21,162453.08369243803,135705.2673949258
2020-10-22,162897.17342956038,135782.46386656846
2020-10-23,163351.08478836238,136190.91790390597
2020-10-26,161434.96982382334,135068.62091333172
2020-10-27,160781.7916424522,134684.91760308418
2020-10-28,157274.1518196733,132837.15089793317
2020-10-29,158357.44939541726,133279.60316888656
2020-10-30,157258.71179167027,132532.47443668058
2020-11-02,157886.56624790395,133006.88160748113
2020-11-03,159760.77621928966,133996.44938127196
2020-11-04,161507.96432654408,135298.71604057
2020-11-05,163860.11373573993,136601.03290601558
2020-11-06,163672.42902066218,136494.66986150327
2020-11-09,164631.57599885092,137536.09689016873
2020-11-10,165785.79279031174,137996.32967972255
2020-11-11,167174.91269614414,138919.26727814524
2020-11-12,166178.69435079177,138411.39075459263
2020-11-13,167725.82515669713,139341.6652820926
2020-11-16,169103.32295468388,140082.69846371468
2020-11-17,169038.6325184817,140174.0704390101
2020-11-18,167736.52598221795,139525.06306872482
2020-11-19,168076.46065945073,139908.282436094
2020-11-20,168285.76646511466,140209.75774332756
2020-11-23,168709.23238949795,140402.5898346683
2020-11-24,169858.72485615264,141183.70239214218
2020-11-25,169859.69820287358,141135.5722633303
2020-11-26,170030.735131398,141254.90061867604
2020-11-27,170394.87931733276,141870.20994102603
2020-11-30,168818.068199673,140790.00747050534
2020-12-01,169862.31402420308,141353.4819941663
2020-12-02,170365.7105439482,141373.7902952921
2020-12-03,170080.37628227498,141192.09738542303
2020-12-04,170595.45371440207,141277.6444132548
2020-12-07,171007.0777152384,141332.23419630123
2020-12-08,171814.7251042279,141767.9874389887
2020-12-09,170829.63296763774,141495.79925754806
2020-12-10,170255.20749112262,141215.8046616159
2020-12-11,170153.24190613846,141234.7266075044
2020-12-14,169006.82827423222,140709.41234529126
2020-12-15,170183.54951486574,141306.98349366966
2020-12-16,171083.32223092127,141851.87948663926
2020-12-17,171893.4246383627,142243.46131675347
2020-12-18,171568.00451758876,142162.52415765024
2020-12-21,171587.86689176667,142015.44515760627
2020-12-22,171837.53180398734,142316.20066161465
2020-12-23,171775.06810605997,142318.94001291887
2020-12-24,171994.8159584232,142403.92831793783
2020-12-29,172253.74025876063,142977.84303081455
2020-12-30,171988.9537044483,142840.16000573797
2020-12-31,171636.3702821156,142691.6991222903
2021-01-04,171706.13553276964,142586.1664871645
2021-01-05,172236.67116803356,142685.06000986136
2021-01-06,173198.34886921392,143274.0664104794
2021-01-07,175114.1205179946,144031.58953442075
2021-01-08,175343.4811931752,144571.7594704645
2021-01-11,174936.56486080913,144096.0569002269
2021-01-12,174754.3836620893,144014.37716197112
2021-01-13,174645.85747224846,144024.8469238544
2021-01-14,174026.93961175982,143714.91886436412
2021-01-15,173864.93014091477,143661.9192749146
2021-01-18,174488.90758289548,144198.37999146155
2021-01-19,174581.24699438823,144111.02085886223
2021-01-20,175378.91282851188,144359.0074554285
2021-01-21,174862.1564530417,144051.4718165538
2021-01-22,174889.18376032406,144150.40319206216
